kanji,hiragana,korean
行為,こうい,행위
偽造,ぎぞう,위조
遺跡,いせき,유적
派遣,はけん,파견
要因,よういん,요인
貧困,ひんこん,빈곤
往診,おうしん,왕진
居住,きょじゅう,거주
憤慨,ふんがい,분개
既婚,きこん,기혼
器官,きかん,기관
宮殿,きゅうでん,궁전
創刊,そうかん,창간
刑罰,けいばつ,형벌
返還,へんかん,반환
変遷,へんせん,변천
監視,かんし,감시
氾濫,はんらん,범람
多岐,たき,"여러 갈래"
特技,とくぎ,특기
質疑,しつぎ,질의
凝縮,ぎょうしゅく,응축
局限,きょくげん,국한
語句,ごく,어구
均衡,きんこう,균형
衝撃,しょうげき,충격
事項,じこう,사항
山頂,さんちょう,산꼭대기
拘束,こうそく,구속
介抱,かいほう,"간호, 돌봄"
債務,さいむ,채무
責務,せきむ,책무
福祉,ふくし,복지
出社,しゅっしゃ,출근
近視,きんし,근시
祝賀,しゅくが,축하
施設,しせつ,시설
斡旋,あっせん,알선
傾斜,けいしゃ,경사
排除,はいじょ,배제
拝借,はいしゃく,"빌려 씀의 겸사말"
措置,そち,조치
繁殖,はんしょく,번식
直面,ちょくめん,직면
心情,しんじょう,심정
忍耐,にんたい,인내
化石,かせき,화석
開拓,かいたく,개척
驚嘆,きょうたん,경탄
非難,ひなん,비난
陳列,ちんれつ,진열
未練,みれん,미련
追跡,ついせき,추적
迫害,はくがい,박해
督促,とくそく,독촉
目録,もくろく,목록
把握,はあく,파악
肥料,ひりょう,비료
避難,ひなん,피난
辟易,へきえき,물러남
抗議,こうぎ,항의
審議,しんぎ,심의
討議,とうぎ,토의
細菌,さいきん,세균
殺菌,さっきん,살균
勧告,かんこく,권고
申告,しんこく,신고
忠告,ちゅうこく,충고
布告,ふこく,포고
視覚,しかく,시각
視察,しさつ,시찰
視点,してん,시점
視野,しや,시야
改革,かいかく,개혁
改修,かいしゅう,"개수, 개보수"
改訂,かいてい,개정
改良,かいりょう,개량
概説,がいせつ,"개설 개론"
概念,がいねん,개념
概要,がいよう,개요
概略,がいりゃく,개략
外観,がいかん,외관
主観,しゅかん,주관
決議,けつぎ,결의
自覚,じかく,자각
自己,じこ,"자기, 자신"
自粛,じしゅく,자숙
自立,じりつ,자립
収益,しゅうえき,수익
収支,しゅうし,수지
収集,しゅうしゅう,수집
収容,しゅうよう,수용
昇進,しょうしん,승진
推進,すいしん,추진
促進,そくしん,촉진
躍進,やくしん,약진
個性,こせい,개성
知性,ちせい,지성
適性,てきせい,적성
慢性,まんせい,만성
破壊,はかい,파괴
破棄,はき,파기
破損,はそん,파손
破裂,はれつ,파열
去職,きょしょく,지망
待望,たいぼう,대망
要望,ようぼう,요망
欲望,よくぼう,욕망
釈明,しゃくめい,"해명, 석명"
声明,せいめい,성명
契約,けいやく,계약
倹約,けんやく,검약
条約,じょうやく,조약
制約,せいやく,제약
融資,ゆうし,융자
融通,ゆうずう,융통
閲覧,えつらん,열람
観覧,かんらん,관람
利益,りえき,이익
利子,りし,이자
利潤,りじゅん,이윤
利息,りそく,이자
推理,すいり,추리
論理,ろんり,논리
学歴,がくれき,학력
履歴,りれき,이력
緩和,かんわ,완화
中和,ちゅうわ,중화
調和,ちょうわ,조화
飽和,ほうわ,포화
