kanji,hiragana,korean
隠居,いんきょ,은거
拒否,きょひ,거부
驚異,きょうい,경이
強硬,きょうこう,강경
享受,きょうじゅ,"향수, 향유"
妥協,だきょう,타협
反響,はんきょう,반향
不況,ふきょう,불황
愚痴,ぐち,푸념
境遇,きょうぐう,"경우, 처지"
回顧,かいこ,회고
孤立,こりつ,고립
貢献,こうけん,공헌
控除,こうじょ,공제
洪水,こうずい,홍수
荒廃,こうはい,황폐
趣旨,しゅし,취지
群集,ぐんしゅう,군집
執着,しゅうちゃく,집착
報酬,ほうしゅう,보수
樹木,じゅもく,수목
真珠,しんじゅ,진주
従来,じゅうらい,종래
操縦,そうじゅう,조종
処置,しょち,처치
庶民,しょみん,서민
干渉,かんしょう,간섭
承諾,しょうだく,승낙
奨励,しょうれい,장려
訴訟,そしょう,소송
賠償,ばいしょう,배상
負傷,ふしょう,부상
秩序,ちつじょ,질서
免除,めんじょ,면제
譲歩,じょうほ,양보
白状,はくじょう,자백
過疎,かそ,과소
阻止,そし,저지
捜索,そうさく,수색
喪失,そうしつ,상실
騒動,そうどう,소동
伴奏,ばんそう,반주
貯蓄,ちょちく,저축
誇張,こちょう,과장
調印,ちょういん,조인
聴講,ちょうこう,청강
嫉妬,しっと,질투
沸騰,ふっとう,끓어오름
配布,はいふ,배포
腐敗,ふはい,부패
浮力,ふりょく,부력
風土,ふうど,풍토
捕獲,ほかく,포획
崩壊,ほうかい,붕괴
放棄,ほうき,포기
褒美,ほうび,"상, 포상"
分母,ぶんぼ,분모
紡績,ぼうせき,방적
関与,かんよ,관여
需要,じゅよう,수요
動揺,どうよう,동요
扶養,ふよう,부양
考慮,こうりょ,고려
丘陵,きゅうりょう,구릉
診療,しんりょう,진료
了承,りょうしょう,"승낙, 납득"
経路,けいろ,경로
過労,かろう,과로
披露,ひろう,피로
浪費,ろうひ,낭비
改悪,かいあく,개악
嫌悪感,けんおかん,혐오감
家畜,かちく,가축
家来,けらい,하인
目下,もっか,"지금, 당장"
下痢,げり,설사
版画,はんが,판화
区画,くかく,구획
合併,がっぺい,합병
合成,ごうせい,합성
元年,がんねん,"원년, 1년"
元素,げんそ,원소
根拠,こんきょ,근거
証拠,しょうこ,증거
行政,ぎょうせい,행정
遂行,すいこう,수행
余興,よきょう,여흥
興奮,こうふん,흥분
振興,しんこう,진흥
細工,さいく,세공
加工,かこう,가공
断言,だんげん,단언
無言,むごん,무언
作用,さよう,작용
耕作,こうさく,경작
奉仕,ほうし,봉사
給仕,きゅうじ,급사
退治,たいじ,퇴치
統治,とうち,통치
期日,きじつ,기일
日夜,にちや,밤낮
修行,しゅぎょう,수행
修飾,しゅうしょく,수식
心中,しんじゅう,동반자살
中枢,ちゅうすう,중추
由緒,ゆいしょ,유서
情緒,じょうちょ,정서
生涯,しょうがい,생애
生計,せいけい,생계
衣装,いしょう,의상
装備,そうび,장비
繁盛,はんじょう,번성
全盛,ぜんせい,전성
案の定,あんのじょう,"예상한 대로"
鑑定,かんてい,감정
内心,ないしん,내심
肝心,かんじん,중요
人脈,じんみゃく,인맥
万人,ばんにん,만인
交代,こうたい,교대
世代,せだい,세대
体格,たいかく,체격
体裁,ていさい,"외관, 체재"
暴露,ばくろ,폭로
暴力,ぼうりょく,폭력
発掘,はっくつ,발굴
発作,ほっさ,발작
微笑,びしょう,미소
微塵,みじん,미세먼지
封鎖,ふうさ,봉쇄
封建,ほうけん,봉건
規模,きぼ,규모
模範,もはん,모범
面目,めんぼく,면목
着目,ちゃくもく,착안
本名,ほんみょう,본명
名誉,めいよ,명예
